risk_text,category,score,reasoning
"We have incurred indebtedness and are required to comply with certain restrictive covenants under our financing agreements. Any non-compliance may lead to, amongst others, accelerated repayment schedule, enforcement of security and suspension of further drawdowns, which may adversely affect our business, results of operations, financial condition and cash flows. Some of the financing arrangements entered into by us include conditions that require our Company to obtain respective lenders’ consent prior to carrying out certain activities and entering into certain transactions. As of May 31, 2026, we had total borrowings of ₹ 1,391.09 million. Failure to meet these conditions or obtain these consents could have significant consequences on our business and operations. These covenants vary depending on the requirements of the financial institution extending such loan and the conditions negotiated under each financing agreement. Some of the corporate actions that require prior consents from certain lenders include, amongst others, (a) any change in the ownership, shareholding pattern, promoter and promoter group shareholding, management control, or any change in the majority shareholding of our Company, (b) amendment in the constitutional documents of the Company including the memorandum of association and articles of association of the Company, (c) implementing any scheme of expansion, modernisation, diversification, other than incurring routine capital expenditure, (d) entering into any scheme for merger, de-merger, consolidation, re-organization, arrangement, takeover, reconstruction and/or undertaking a buyback; (e) diversification into non-core business areas; (f) undertaking additional capex (except maintenance capex being funded by our internal accruals); (g) further investments into other entities; (h) providing guarantee obligations for third parties; (i) extending loans to group companies, subsidiaries or third parties; and (j) selling or assigning any fixed assets provided as security for loans availed. While we have received all relevant consents required for the purposes of this Offer and have complied with these covenants, a failure to comply with such covenants in the future may restrict or delay certain actions or initiatives that we may propose to take from time to time. While we have not defaulted on any covenants in financing agreements in the last three Fiscals, we cannot assure you that this will continue to be the case in the future. A failure to observe the covenants under our financing arrangements or to obtain necessary consents/ waivers, constitute defaults under the relevant financing agreements and will entitle the respective lenders to declare a default against us and enforce remedies under the terms of the financing agreements, that include, among others, acceleration of amounts due under such facilities, enforcement of any security interest created under the financing agreements and taking possession of the assets given as security in respect of the financing agreements. If the obligations under any of our financing documents are accelerated, we may have to dedicate a portion of our cash flow from operations to make payments under such financing documents, thereby reducing the availability of cash for our working capital requirements and other general corporate purposes. In addition, during any period in which we are in default, we may be unable to raise, or face difficulties raising, further financing. A default by us under the terms of any financing agreement may also trigger a cross-default under some of our other financing agreements, or any other agreements or instruments of our containing cross-default provisions, which may individually or in aggregate, have an adverse effect on our operations, financial position and credit rating. For further details of our borrowings, including restrictive covenants in our loan documentation, see “Financial Indebtedness” on page 434. In addition, our net debt to equity ratio as at March 31, 2026 was 0.23 times and as at March 31, 2025 was 0.47 times, as per the Restated Financial Information. As at March 31, 2024, the net debt to equity ratio was 1.06 times as per the Special Purpose Combined and Carve-Out Financial Statements of the Demerged Business. Any material increase in our debt to equity ratio in the future could reduce our financial flexibility and affect our ability to negotiate favourable terms in our financing agreements. Further, the cost and availability of our capital also depends on our credit ratings. Credit ratings reflects the opinion of the rating agency on our management, track record, diversified clientele, increase in scale and operations and margins, medium term revenue visibility and operating cycle. For more information, see “- Our ability to access capital depends on our credit ratings. The non-availability or downgrade of our credit ratings could restrict our access to capital and adversely affect our business, results of operations, financial condition and cash flows” on page 43.",Regulatory,4,High (Regulatory): Specific metrics and financial exposure details provided.
"Orders in our order book may be delayed, truncated, modified, or cancelled, and may not translate into confirmed orders, which may have an adverse effect on our business, results of operation, financial condition and cash flows. We have, in this Red Herring Prospectus, included information regarding our order book. For further information, see “Basis for Offer Price – Key Performance Indicators” on page 131. Order book means the value of the outstanding order book as of the respective dates, which is calculated as the total value of purchase orders and commitments received by our Company from its customers during the financial year/ period (excluding cancelled purchase orders and commitments), net of the sale of finished goods during the same period as increased by the outstanding purchase orders and commitments as at the previous reporting date. The value of orders and commitments received in foreign currencies has been translated into Indian Rupees at the closing exchange rates prevailing as at the respective reporting dates. As of March 31, 2026 and March 31, 2025, our order book stood at ₹ 13,585.17 million and ₹ 8,284.57 million and as of March 31, 2024, the Demerged Company’s order book stood at ₹ 7,692.40 million. Our order book information included in this Red Herring Prospectus is not audited and only indicates our future revenue but the same may not be actualised. Our order book should not be considered in isolation or as a substitute for performance measures. Delays or deferrals of orders, modifications in the scope including truncation of order size, changes in customer requirements or cancellations of orders may occur from time to time. Accordingly, the realization of our order book and the effect on our results of operations may vary significantly between reporting periods depending on the nature of such contracts, actual performance of such contracts, as well as the stage of completion of such contracts as of the relevant reporting date. We may incur expenses due to delays and our counterparties may refuse to grant extensions, seek liquidated damages due to our failure to perform our orders within required timelines and even terminate our contracts. The costs incurred in such instances will not be reimbursable, which could have an adverse impact on our business, results of operations and cash flows. Due to the possibility of cancellations or changes in scope and schedule of the orders we are required to perform, we cannot predict with certainty when, if or to what extent, orders in our order book will actually be performed. Any delay, cancellation or payment default could have an adverse effect on our business, results of operations, financial condition and cash flows.",Financial,4,High (Financial): Specific metrics and financial exposure details provided.
"Certain of our manufacturing facilities, service centre, offices are located on leased premises. Certain of our facilities are substantially located on leased properties from third parties. Typically, the term of our leases ranges from 11 months to 90 years and are subject to lock-in for a certain duration over the respective term of such lease. The underlying lease agreement for one of our warehouses located in Morbi, Gujarat, expired on April 30, 2026, and we are in the process of renewing the same. While deliberations are underway, we cannot guarantee that the lease agreement will be renewed for another term. We are required to pay a security deposit, specified monthly rentals and common area maintenance charges for the duration of our lease agreements, subject to periodic escalations at agreed rates. These lease agreements may be terminated in accordance with their respective terms, and any termination or non-renewal of such leases could adversely affect our operations. Further, our properties in Panki Industrial Estate, Kanpur, Uttar Pradesh have been obtained on long-term lease from the Uttar Pradesh State Industrial Development Authority (“UPSIDA”), and remain subject to any decision by UPSIDA to revoke such lease, or not renew the lease at the end of its expiry. In addition, we do not have a separate lease agreement for use of the premises on which our manufacturing facility in Como, Italy is situated. The minority shareholder of OMGM, which operates the manufacturing facility, has agreed to provide a designated space free of charge to OMGM until it starts generating revenue. Further, some of our lease agreements may not have been duly stamped as per applicable law or registered with the registering authority of the appropriate jurisdiction. An instrument not duly stamped, or insufficiently stamped, is not admissible as evidence in an India court and we may be subject to penalties under applicable law which could adversely affect our business. For further details, see “Our Business – Properties” on page 232. While there are no instances of non-compliance of the terms of our lease agreements in the last three Fiscals which had a material impact on our business, results of operations and financial condition, there can be no assurance that there will be no such non-compliance leading to termination of such leases in the future. Any change in the terms and conditions of the lease agreements and any premature termination of such lease agreements may have an adverse impact on our business operations. Any adverse impact on the title and ownership rights of the owners from whose premises we operate, breach of the contractual terms of any lease deeds, or any inability to renew such agreements on acceptable terms may also affect our business operations. In addition, the terms of certain of our leases require us to obtain the lessor’s prior consent for certain actions, including making structural alterations to the leased premises, which may be required if we were to undertake an expansion in the future. For instance, for the purpose of the Offer and the consequent amendments to our AOA, we require prior consent from UPSIDA, the lessor of our properties in Panki Industrial Area, Kanpur. We have applied to the UPSIDA for such consent and sent a reminder letter, which have been delivered to and received by the UPSIDA, although the UPSIDA has not formally responded to these letters. There can be no assurance that we will be able to obtain such consents or retain or renew such leases on same or similar terms, or that we will find alternate locations for the existing offices on terms favorable to us, or at all. In the event we intend to expand the capacity of our facilities, and require additional land for such purposes, we cannot assure you that we will be able to identify or acquire adequate land either on a freehold or leasehold basis, or that land acquisitions will be completed in a timely manner, at acceptable costs and/or on commercially reasonable terms, without opposition or relocation and resettlement costs, or at all. The cost of acquiring land on a leasehold basis for our facilities may be higher than we estimated and is subject to a number of factors, including the type of land being acquired, market prices, the level of economic development in the area where the land is located and government regulations pertaining to the price of land, among others. In addition, we may face significant opposition to the construction of our facilities from local communities, non-government organizations and other parties. Such opposition or circumstances may be beyond our control. If we are unable to acquire the required amount of land for our facilities, the viability and efficiency of such projects may be affected. In addition, any inability to complete the acquisition of the necessary land in a timely manner may cause construction delays. The occurrence of any such event could have an adverse effect on our business, results of operations, financial condition and cash flows.",Legal,4,"High (Legal): Specific and material operational/business dependency, but contingent or forward-looking."
"Our past performance may not be indicative of our future growth. If we are unable to sustain or manage our growth or implement our strategies, our business, results of operations, financial condition and cash flows may be adversely affected. The Scheme has enabled us to grow our operations since it became effective in May 2024 (from April 1, 2024 onwards), and in Fiscals 2026 and 2025, our revenue from operations on a consolidated basis stood at ₹ 17,169.95 million and ₹ 13,768.72 million, respectively, while our EBITDA (calculated as profit/(loss) before exceptional items and finance cost, depreciation and amortisation expenses and total tax expenses) was ₹ 3,394.51 million and ₹ 2,286.02 million, respectively. We may not be able to grow our operations due to a variety of reasons including a decline in the demand for machines for manufacturing woven fabric/ sacks, increased price competition, the lack of availability of raw materials, lack of management availability or a general slowdown in the economy. A failure to sustain our growth may have an adverse effect on our business, results of operations and financial condition. We are embarking on a growth strategy that involves increasing the market share of our products, strengthening our position in the conversions and processing machineries segment in India, improving our operational efficiencies through process improvements and augmenting our scale of operations through selective strategic acquisitions and technical alliances. For details, see “Our Business – Business Strategies” beginning on page 212. Our growth strategy will place significant demands on our management as well as our financial, accounting and operating systems. Further, as we scale-up and diversify our products, we may not be able to execute our operations efficiently, which may result in delays, increased costs and lower quality products. We cannot provide assurances that our future performance or growth strategy will be successful. Our failure to manage our growth effectively may have an adverse effect on our business, results of operations, financial condition and cash flows.",Financial,4,High (Financial): Specific metrics and financial exposure details provided.
"Our business is manpower intensive. Our business may be adversely affected by work stoppages, increased wage demands by our employees, or increase in minimum wages across various states, inability to attract or train skilled personnel and if we are unable to engage new employees at commercially attractive terms. The success of our operations depends on availability of labour and maintaining a good relationship with our workforce. Our success also depends on our ability to attract, hire, train and retain skilled workers. As of March 31, 2026, our Company had 2,010 permanent employees on our payroll and 1,099 contract labourers. Set forth below are details of employee benefits expense in each of the corresponding periods: Particulars Restated Financial Information@ Special Purpose Combined and Carve- Out Financial Statements@ (Demerged Business) Fiscal 2026 Fiscal 2025 Fiscal 2024 Fiscal 2024 Consolidated Consolidated Standalone (₹ million) Percenta ge of revenue from operatio ns (%) (₹ million) Percenta ge of revenue from operatio ns (%) (₹ million) Percenta ge of revenue from operatio ns (%) (₹ million) Percentage of revenue from operations (%) Employee benefits expense 1,917.84 11.17% 1,800.46 13.08% - - 1,836.22 15.75% @ The Restated Financial Information pertains to our Company for the years ended March 31, 2026, March 31, 2025 and March 31, 2024 while the Special Purpose Combined and Carve-Out Financial Statements pertain to the Demerged Business for the year ended March 31, 2024. For information on the attrition rates of our permanent employees, see “- We are dependent on a number of key personnel, including our Promoters, Board of Directors, Key Managerial Personnel and members of Senior Management, and the loss of, or our inability to hire, retain, train, and motivate qualified personnel could adversely affect our business, results of operations, financial condition and cash flows” on page 49. India has stringent labour legislations that protect the interests of workers, including legislation that sets forth detailed procedures for the establishment of unions, dispute resolution and employee removal, and legislation that imposes certain financial obligations on employers upon retrenchment. It may become difficult for us to maintain flexible labour policies and labour costs within control, which may increase our costs and adversely affect our business. Any labour unrest directed against us, could directly or indirectly prevent or hinder our normal operating activities, and, if not resolved in a timely manner, could lead to disruptions in our operations. Although we have not experienced any interruption to our operations as a result of labour disputes in the last three Fiscals which had a material impact on our business, results of operations and financial condition, we cannot assure you that we will not experience any such disruption in the future as a result of disputes or disagreements with our work force, which may adversely affect our ability to continue our business operations. In addition, our business requires skilled personnel for the operation of machinery. While we train individuals at our manufacturing technology training centre in Kanpur, Uttar Pradesh to cater to our internal manpower requirements, in the event we are unable to attract or adequately train skilled labour, our operations may be adversely affected. Further, a significant increase in our employee attrition rate could also result in decreased operational efficiencies and productivity, loss of market knowledge and customer relationships, and an increase in recruitment and training costs, thereby adversely affecting our business, results of operations, financial condition and cash flows. In addition, we have service engineers stationed in 12 cities in India, as well as in 13 countries overseas, including countries such as Brazil, Mexico, UAE, Russia, Turkey, Mexico, Kenya and Indonesia. These local engineers provide support in erection and commissioning of machinery and provide after-sales services in their respective regions. If we are unable to attract or retain qualified service engineers who are able to support the installation and operation of our products at our customers’ locations, our reputation and business may be adversely affected. Further, the minimum wage laws in India may be amended leading to upward revisions in the minimum wages payable in one or more states in which we currently operate or may expand to. In addition, our employees in different jurisdictions globally are subject to differing legislation, which we need to comply with. As of the date of this Red Herring Prospectus, we are also party to a collective bargaining arrangement with our employees that provides for periodic increases in certain allowances to our employees. We may need to increase compensation and other benefits in order to attract and retain key personnel in the future and that may materially affect our costs and profitability. We cannot assure you that as we continue to grow our business in the future, our employee costs coupled with operating expenses will not significantly increase.",Legal,4,High (Legal): Specific metrics and financial exposure details provided.
"We appoint contract labour for carrying out certain of our ancillary operations and we may be held responsible for paying the wages of such workers, if the independent contractors through whom such workers are hired default on their obligations, and such obligations could have an adverse effect on our results of operations, cash flows and financial condition. In order to retain flexibility and control costs, we appoint independent contractors who in turn engage on-site contract labour for performing certain of our ancillary operations, including, assisting in loading/ unloading works and housekeeping activities. The numbers of contract labourers vary from time to time based on the nature and extent of work contracted to independent contractors. As of March 31, 2026, March 31, 2025 and March 31, 2024, we engaged 1,099, 873 and 735 contract labourers, respectively, as part of our operations. Such contract labourers amounted to 35.35%, 33.38% and 29.85%, respectively, of our total employees, as of such dates. Although we do not engage these labourers directly, we may be held responsible for any wage payments to be made to such labourers in the event of default by independent contractors. All contract labourers engaged at our facilities are assured minimum wages that are fixed by the state government from time to time. Any requirement for us to offer them permanent employment or upward revision of wages that may be required by the state government to be paid to such contract labourers may increase our costs in connection with such contract labourers. Further, while there have been no such instances in the last three Fiscals, the unavailability of the required number of contract labourers may adversely affect our results of our operations, financial condition and cash flows.",Financial,4,High (Financial): Specific metrics and financial exposure details provided.
"Failure to provide adequate spare parts and services for machinery may adversely affect customer goodwill, our results of operations, financial condition and cash flows. As part of our operations, we supply parts and accessories to global manufacturers of woven raffia. In order to service this business effectively, we are required to maintain a supply of spare parts and accessories to cater to customers’ requirements as they arise. As we cannot accurately anticipate the requirements of customers for spare parts before such requests are made to us, we may not have adequate products to offer customers in a timely manner. Failure to maintain an adequate inventory of spare parts and accessories, particularly in different locations, may prevent us from fulfilling customer requirements swiftly and efficiently. Set forth below are revenues from sale of spare parts for machines for woven fabric/ sacks in the corresponding years: Particulars Restated Financial Information@ Special Purpose Combined and Carve-Out Financial Statements@ (Demerged Business) Fiscal 2026 Fiscal 2025 Fiscal 2024 Fiscal 2024 Consolidated Consolidated Standalone (₹ million) Percenta ge of revenue from operatio ns (%) (₹ million) Percenta ge of revenue from operatio ns (%) (₹ million) Percenta ge of revenue from operatio ns (%) (₹ million) Percentage of revenue from operations (%) Revenue from spare parts for woven raffia machines 1,947.30 11.34% 1,737.81 12.62% - - 1,393.57 11.95% @ The Restated Financial Information pertains to our Company for the years ended March 31, 2026, March 31, 2025 and March 31, 2024 while the Special Purpose Combined and Carve-Out Financial Statements pertain to the Demerged Business for the year ended March 31, 2024. While there have been no instances in the last three Fiscals that materially affected our business and results of operations, any failure to cater to customers in our spare parts and accessories business may lead to lower demand and loss of goodwill, thereby adversely affecting our results of operations, financial condition and cash flows.",Financial,4,"High (Financial): Specific and material operational/business dependency, but contingent or forward-looking."
"Our Promoters, Directors and Group Companies may have interests in certain companies, which could be in businesses similar to ours or our Subsidiaries’ and this may result in potential conflict of interest with us or our Subsidiaries. A potential conflict of interest may occur between our Promoters, Directors and Group Companies if they have interest in companies in the similar line of business as our Company or our Subsidiaries. Our Promoters, Directors, their related entities and our Group Companies may compete with us or our Subsidiaries and have no obligation to direct any opportunities to us or our Subsidiaries. In addition, under the memorandum of family settlement dated September 21, 2022 (“Family Settlement Agreement”) executed by various members of the Lohia family who had ownership interests of various Lohia Group (as defined in the Family Settlement Agreement) companies, the signatories had agreed that for a period of 10 years from the effective date (i.e., 30 days after execution of the Family Settlement Deed) (“Non-Compete Period”), no entity owned or controlled by the Lohia family members other than the Demerged Company, its subsidiaries, joint ventures and permitted assigns (which includes our Company pursuant to the Scheme) would be engaged in the business and supply of plant and machinery for manufacture of woven fabrics. Upon the expiry of the Non-Compete Period, the signatories to the Family Settlement Agreement, which include certain of our Promoters and members of the Promoter Group, may commence, acquire or invest in competing businesses to ours, which could adversely affect our business, results of operations, financial condition and cash flows. For further details of the Family Settlement Agreement, see “History and Other Corporate Matters – Agreements required under Clause 5A of paragraph A of part A of Schedule III of the SEBI Listing Regulations” on page 253. While no other conflict exists as of the date of this Red Herring Prospectus, necessary procedures and practices may be adopted as permitted by law to address any instances of conflict of interest, such as ethical walls, if and when they may arise. We cannot assure you that any conflicts of interest in future will be resolved in an impartial manner.",Regulatory,3,Moderate (Regulatory): Real business risk but stated vaguely without specific numbers or metrics.
"Our Joint Statutory Auditors have referred to an emphasis of matters in their examination report on the restated financial information as at and for the year ended March 31, 2025. The emphasis of matter is set forth below: “We draw attention to note 47 to the accompanying consolidated financial statements which describes that pursuant to the scheme of arrangement (the “Scheme”) between the Company and Lohia Trade Services Limited (formerly known as Lohia Corp Limited) (“LTSL”), technical textile machinery business (“Demerged Undertaking”) of LTSL and the related investments by LTSL in its five subsidiaries along with the Demerged Undertaking has been transferred to and merged with the Company with the appointed date of 01 April 2024 as per the accounting treatment prescribed in the Scheme which has been approved by National Company Law Tribunal, Allahabad Bench at Prayagraj (“NCLT”) vide their order dated 16 April 2024.” The opinion of our Joint Statutory Auditors is not modified in respect of this matter. We cannot assure you that any similar emphasis of matters will not form part of our financial statements for future fiscal periods, which could subject us to additional liabilities due to which our reputation and financial condition may be adversely affected.",Regulatory,3,Moderate (Regulatory): Real business risk but stated vaguely without specific numbers or metrics.
"Our Joint Auditors have included other audit qualification in the annexure to the auditor’s reports issued under the Companies (Auditor’s Report) Order, 2020 (“CARO”) on the consolidated financial statements for the year ended March 31, 2026 and March 31, 2025. Our Joint Statutory Auditors have included other audit qualification in the annexure to the auditors’ reports issued under CARO, on the consolidated financial statements for the years ended March 31, 2026 and March 31, 2025, which does not require any corrective adjustment in the Restated Financial Information, as set forth below: Year ended March 31, 2026 Clause (ix)(d) of Companies (Auditor’s Report) Order, 2020 “Sundarlam Industries Private Limited According to the information and explanations given to us, and the procedures performed by us and on an overall examination of the financial statements of the Company we report that in the current year funds amounting to ₹ 16.39 millions raised on short term basis have been used for long term purposes by the Company, whereas in the previous year no funds raised on short term basis have been used for long term purposes.” Year ended March 31, 2025 Clause (ix)(d) of Companies (Auditor’s Report) Order, 2020 “Sundarlam Industries Private Limited According to the information and explanations given to us, and the procedures performed by us and on an overall examination of the financial statements of the Company we report that in the current year no funds raised on short term basis have been used for long term purposes, whereas in the previous year funds raised on short term basis amounting to ₹ 28.47 millions have been used for long term purposes by the Company.” For further information, see “Financial Information – Restated Financial Information” on page 277. We cannot assure you that other audit qualifications under CARO or the Companies (Auditor’s Report) Order, 2020 will not be included in our consolidated financial statements in the future. Any future inclusions of such other audit qualifications may adversely affect our reputations, results of operations, financial condition and cash flows.",Regulatory,4,High (Regulatory): Specific metrics and financial exposure details provided.
"Our failure to keep our technical knowledge confidential could erode our competitive advantage. We possess extensive technical knowledge about our products. Our technical knowledge is a significant independent asset, which may not be adequately protected by intellectual property rights. Some of our technical knowledge is protected only by secrecy. As a result, we cannot be certain that our technical knowledge will remain confidential in the long run. Certain proprietary knowledge may be leaked, either inadvertently or willfully, at various stages of the production process. A significant number of our employees have access to confidential design and product information and there can be no assurance that this information will remain confidential. Moreover, certain of our employees may leave us and join our various competitors. While we may enter into non-disclosure agreements with our suppliers, there can be no assurance that such agreements will be successful in protecting our technical knowledge. The potential damage from such disclosure is increased as certain of our designs and products are not patented, and thus we may have no recourse against copies of our products and designs that enter the market subsequent to such leakages. If the confidential technical information in respect of our products or business becomes available to third parties or to the public, any competitive advantage we may have over our competitors could be harmed. While there have not been any instances of leakage of technical knowledge or confidential information in the last three Fiscals which had a material impact on our business, results of operations and financial condition, we cannot assure you that such instances will not occur in future. If a competitor is able to reproduce or otherwise capitalize on our technology, it may be difficult, expensive or impossible for us to obtain necessary legal protection. Consequently, any leakage of confidential technical information could have an adverse effect on our results of operations, financial condition and cash flows.",Legal,3,Moderate (Legal): Real business risk but stated vaguely without specific numbers or metrics.
"We are subject to various laws, regulations, approvals and licenses required in the ordinary course of business, including environmental, health and safety laws and other regulations. Any failure to obtain or retain them in a timely manner may adversely affect our operations. Our business and operations are subject to a number of approvals, licenses, registrations and permissions for operating our manufacturing and other facilities, branch offices and regional offices, in addition to extensive government regulations for the protection of the environment and occupational health and safety. We also have certain warehouses, where we store inventory of spares for after-sales services. We have either made or are in the process of making an application or renewal for obtaining necessary approvals that are not in place or have expired. We may also need to apply for additional approvals including the renewal of approvals which may expire from time to time, in the ordinary course of business. We are required to obtain various regulatory approvals and registrations for our operations, including consents from the local pollution control boards in India to establish and operate our manufacturing facilities in India, and registrations with the relevant tax and labour authorities in India and abroad, some of which may expire in the ordinary course and for which we would be required to make applications for renewal from time to time. We are required to obtain and are in the process of applying for the permission for withdrawal of ground water in relation to facility located at D-3/A, Panki Industrial Estate, Kanpur, Uttar Pradesh. In addition, our operations also require us to obtain other approvals and permits including for use of utilities. Failure to obtain and maintain any required approvals and registrations may have an adverse effect on our business, results of operations, financial condition and cash flows. Further, our approvals and registrations are subject to numerous conditions (for instance, including periodic reporting or audit requirements), some of which may require us to undertake substantial compliance-related expenditure. Breach or non-compliance with specified conditions may result in the suspension, withdrawal or termination of our approvals and registrations or the imposition of penalties by the relevant authorities. In addition, in relation to certain business premises that are located in buildings that have been leased by us from third parties (including our manufacturing facilities in Panki Industrial Estate, Kanpur, Uttar Pradesh; Nadakerappa Industrial Estate, Bengaluru, Karnataka; and Peenya Industrial Estate, Bengaluru, Karnataka), certain licenses and approvals are required to be obtained and maintained by the owners of such buildings. Any failure on the part of the owners to obtain and renew these approvals may impact our operations at such premises. For instance, the owner of the building in which our Bengaluru manufacturing facility is located has not obtained an occupancy certificate (“OC”) as per the byelaws of the local planning authority, having jurisdiction over the building. Any adverse regulatory proceedings initiated against the owner for such failure to receive the OC may disrupt our operations or compel us to relocate our Bengaluru manufacturing facility to an alternate location. A suspension, cancellation or refusal to extend our approvals and registrations may require us to cease production at some or all of our manufacturing facilities (or may affect other aspects of our operations), which may have an adverse effect on our business, results of operations, financial condition and cash flows. If we fail to apply, retain, renew or receive any of such approvals, licenses, registrations, permissions or renewals, in a timely manner or at all, our business, results of operations, financial condition and cash flows may be adversely affected. Certain approvals may be pending for application or may have lapsed in their normal course, and we have either made applications to the appropriate authorities in relation to such licenses and/or approvals or is in the process of making such applications. For further information in relation to such approvals, see “Government and Other Approvals” on page 443. Further, our government approvals and licenses are subject to certain conditions, some of which are onerous and require us to make substantial compliance-related expenditure. If we fail to comply or a regulator claims that we have not complied with such conditions, our business, results of operations, financial condition and cash flows may be adversely affected. For details, see “Outstanding Litigation and Material Developments” beginning on page 437.",Legal,4,"High (Legal): Specific and material operational/business dependency, but contingent or forward-looking."
"We export our products to various countries, on account of which we may be subject to significant import duties or restrictions. Further, unavailability of fiscal benefits enjoyed by us or our inability to comply with related requirements may have an adverse effect on our business, results of operations, financial condition and cash flows. Our key overseas markets include Africa, Middle East, SAARC, ASEAN, Latin America and the Commonwealth of Independent States. The table below sets forth the breakdown of our export sales of our key product categories, and as a percentage of our total export sales for the years indicated: Particulars Restated Financial Information@ Special Purpose Combined and Carve-Out Financial Statements@ (Demerged Business) Fiscal 2026 Fiscal 2025 Fiscal 2024 Fiscal 2024 Consolidated Consolidated Standalone Amount (₹ million) Percenta ge of revenue from operatio ns (%) Amount (₹ million) Percenta ge of revenue from operatio ns (%) Amount (₹ million) Percenta ge of revenue from operatio ns (%) Amount (₹ million) Percentage of revenue from operations (%) Circular looms 2,050.03 28.92% 2,608.88 33.46% - - 1,712.16 30.29% Tape Extrusion Lines 1,490.57 21.03% 1,345.69 17.26% - - 1,008.68 17.85% Tape Winders 743.00 10.48% 730.09 9.36% - - 509.08 9.01% Other Sales 265.22 3.74% 266.53 3.42% - - 115.69 2.05% Other machines and equipment 1,796.73 25.34% 2,171.28 27.85% - - 1,758.90 31.12% Spare parts for machines 743.95 10.49% 674.54 8.65% - - 547.57 9.68% Total 7,089.50 100.00% 7,797.01 100.00% - - 5,652.08 100.00% @ The Restated Financial Information pertains to our Company for the years ended March 31, 2026, March 31, 2025 and March 31, 2024 while the Special Purpose Combined and Carve-Out Financial Statements pertain to the Demerged Business for the year ended March 31, 2024. Further, the table below sets forth details of the region-wise revenue generated from sale of manufacturing goods and traded goods for key regions in the years indicated: Particulars Restated Financial Information@ Special Purpose Combined and Carve-Out Financial Statements@ (Demerged Business) Fiscal 2026 Fiscal 2025 Fiscal 2024 Fiscal 2024 Consolidated Consolidated Standalone Revenue (₹ million) Percenta ge of revenue from operatio ns (%) Revenue (₹ million) Percenta ge of revenue from operatio ns (%) Revenue (₹ million) Percent age of revenue from operati ons (%) Revenue (₹ million) Percentage of revenue from operations (%) Africa 1,361.47 7.93% 1,073.56 7.80% - - 817.19 7.01% Asia Pacific (excluding India) 1,780.94 10.37% 1,884.30 13.69% - - 1,663.64 14.27% Commonwealth of Independent States* 416.33 2.42% 648.70 4.71% - - 685.20 5.88% Europe 298.87 1.74% 195.89 1.42% - - 86.53 0.74% MENA 2,097.55 12.22% 2,287.84 16.62% - - 1,172.89 10.06% North and South America 1,134.34 6.61% 1,706.72 12.40% - - 1,226.63 10.52% Total 7,089.50 41.29% 7,797.01 56.64% - - 5,652.08 48.48% @ The Restated Financial Information pertains to our Company for the years ended March 31, 2026, March 31, 2025 and March 31, 2024 while the Special Purpose Combined and Carve-Out Financial Statements pertain to the Demerged Business for the year ended March 31, 2024. * Includes countries such as Russia, Belarus, Kazakhstan, Kyrgyzstan, Uzbekistan and Azerbaijan. The countries in these regions impose varying import duties on our products. There can be no assurance that the import duties will not increase or that new restrictions will not be imposed by such countries. Any substantial increase in such duties or imposition of new restrictions may adversely affect our business, results of operations, financial condition and cash flows. Export destination countries may also enter into free trade agreements or regional trade agreements with countries other than India. Such agreements and alteration of existing tax treaties may lead to increased competition or may even place us at a competitive disadvantage compared to manufacturers in other countries. India is also a party to, and is currently negotiating, free trade agreements with several countries and if we export our products to such countries, any revocation or alteration of those bilateral agreements may also adversely affect our ability to export. Further, changes in import policies or an economic slowdown in countries to which we export our products may have a significant adverse impact on our business, financial condition and results of operations. Further, the GoI notifies policies providing fiscal benefits on exports and imports from time to time and any discontinuance or non-availability of such fiscal benefits enjoyed by us or our inability to comply with related requirements may have an adverse effect on our results of operations, financial condition and cash flows.",Financial,4,High (Financial): Specific metrics and financial exposure details provided.
